slug,city,state
national-institute-of-technology-andhra-pradesh,Tadepalligudem,Andhra Pradesh
national-institute-of-technology-arunachal-pradesh,Yupia,Arunachal Pradesh
national-institute-of-technology-calicut,Kozhikode,Kerala
national-institute-of-technology-delhi,New Delhi,Delhi
national-institute-of-technology-durgapur,Durgapur,West Bengal
national-institute-of-technology-goa,Ponda,Goa
national-institute-of-technology-hamirpur,Hamirpur,Himachal Pradesh
national-institute-of-technology-jamshedpur,Jamshedpur,Jharkhand
national-institute-of-technology-surathkal,Surathkal,Karnataka
national-institute-of-technology-kurukshetra,Kurukshetra,Haryana
national-institute-of-technology-manipur,Imphal,Manipur
national-institute-of-technology-meghalaya,Shillong,Meghalaya
national-institute-of-technology-mizoram,Aizawl,Mizoram
national-institute-of-technology-nagaland,Dimapur,Nagaland
national-institute-of-technology-patna,Patna,Bihar
national-institute-of-technology-puducherry,Karaikal,Puducherry
national-institute-of-technology-raipur,Raipur,Chhattisgarh
national-institute-of-technology-rourkela,Rourkela,Odisha
national-institute-of-technology-sikkim,Ravangla,Sikkim
national-institute-of-technology-silchar,Silchar,Assam
national-institute-of-technology-srinagar,Srinagar,Jammu and Kashmir
nit-trichy,Tiruchirappalli,Tamil Nadu
national-institute-of-technology-uttarakhand,Srinagar,Uttarakhand
national-institute-of-technology-warangal,Warangal,Telangana
noida-institute-of-technology,Noida,Madhya Pradesh
panipat-institute-of-technology,Panipat,Telangana
patna-institute-of-technology,Patna,Delhi
pune-institute-of-technology,Pune,Maharashtra
rishikesh-institute-of-technology,Rishikesh,Punjab
rohtak-institute-of-technology,Rohtak,West Bengal
saharanpur-institute-of-technology,Saharanpur,Assam
shimla-institute-of-technology,Shimla,Chhattisgarh
shiv-nadar-university,Greater Noida,Uttar Pradesh
siksha-o-anusandhan-university,Bhubaneswar,Odisha
srm-institute-of-science-and-technology,Chennai,Tamil Nadu
surat-institute-of-technology,Surat,Uttar Pradesh
thapar-institute-of-engineering-and-technology,Patiala,Punjab
thiruvananthapuram-institute-of-technology,Thiruvananthapuram,Chhattisgarh
udaipur-institute-of-technology,Udaipur,Delhi
vadodara-institute-of-technology,Vadodara,Karnataka
varanasi-institute-of-technology,Varanasi,Maharashtra
vit-vellore,Vellore,Tamil Nadu
visakhapatnam-institute-of-technology,Visakhapatnam,Jharkhand
